level,direction,trial,command_id,apk_sha256,operator,permit_id,issued_at_ms,apk_received_at_ms,sdk_submitted_at_ms,physical_onset_at_ms,stop_requested_at_ms,physical_stop_at_ms,stop_distance_m,overshoot_m,velocity_m_s,sensor_ok,no_overlap,no_resume,result,evidence_path
1,forward,1,,,,,,,,,,,,,,,,,,
1,forward,2,,,,,,,,,,,,,,,,,,
1,forward,3,,,,,,,,,,,,,,,,,,
1,backward,1,,,,,,,,,,,,,,,,,,
1,backward,2,,,,,,,,,,,,,,,,,,
1,backward,3,,,,,,,,,,,,,,,,,,
1,left,1,,,,,,,,,,,,,,,,,,
1,left,2,,,,,,,,,,,,,,,,,,
1,left,3,,,,,,,,,,,,,,,,,,
1,right,1,,,,,,,,,,,,,,,,,,
1,right,2,,,,,,,,,,,,,,,,,,
1,right,3,,,,,,,,,,,,,,,,,,
2,forward,1,,,,,,,,,,,,,,,,,,
2,forward,2,,,,,,,,,,,,,,,,,,
2,forward,3,,,,,,,,,,,,,,,,,,
2,backward,1,,,,,,,,,,,,,,,,,,
2,backward,2,,,,,,,,,,,,,,,,,,
2,backward,3,,,,,,,,,,,,,,,,,,
2,left,1,,,,,,,,,,,,,,,,,,
2,left,2,,,,,,,,,,,,,,,,,,
2,left,3,,,,,,,,,,,,,,,,,,
2,right,1,,,,,,,,,,,,,,,,,,
2,right,2,,,,,,,,,,,,,,,,,,
2,right,3,,,,,,,,,,,,,,,,,,
3,forward,1,,,,,,,,,,,,,,,,,,
3,forward,2,,,,,,,,,,,,,,,,,,
3,forward,3,,,,,,,,,,,,,,,,,,
3,backward,1,,,,,,,,,,,,,,,,,,
3,backward,2,,,,,,,,,,,,,,,,,,
3,backward,3,,,,,,,,,,,,,,,,,,
3,left,1,,,,,,,,,,,,,,,,,,
3,left,2,,,,,,,,,,,,,,,,,,
3,left,3,,,,,,,,,,,,,,,,,,
3,right,1,,,,,,,,,,,,,,,,,,
3,right,2,,,,,,,,,,,,,,,,,,
3,right,3,,,,,,,,,,,,,,,,,,
4,forward,1,,,,,,,,,,,,,,,,,,
4,forward,2,,,,,,,,,,,,,,,,,,
4,forward,3,,,,,,,,,,,,,,,,,,
4,backward,1,,,,,,,,,,,,,,,,,,
4,backward,2,,,,,,,,,,,,,,,,,,
4,backward,3,,,,,,,,,,,,,,,,,,
4,left,1,,,,,,,,,,,,,,,,,,
4,left,2,,,,,,,,,,,,,,,,,,
4,left,3,,,,,,,,,,,,,,,,,,
4,right,1,,,,,,,,,,,,,,,,,,
4,right,2,,,,,,,,,,,,,,,,,,
4,right,3,,,,,,,,,,,,,,,,,,
5,forward,1,,,,,,,,,,,,,,,,,,
5,forward,2,,,,,,,,,,,,,,,,,,
5,forward,3,,,,,,,,,,,,,,,,,,
5,backward,1,,,,,,,,,,,,,,,,,,
5,backward,2,,,,,,,,,,,,,,,,,,
5,backward,3,,,,,,,,,,,,,,,,,,
5,left,1,,,,,,,,,,,,,,,,,,
5,left,2,,,,,,,,,,,,,,,,,,
5,left,3,,,,,,,,,,,,,,,,,,
5,right,1,,,,,,,,,,,,,,,,,,
5,right,2,,,,,,,,,,,,,,,,,,
5,right,3,,,,,,,,,,,,,,,,,,
6,forward,1,,,,,,,,,,,,,,,,,,
6,forward,2,,,,,,,,,,,,,,,,,,
6,forward,3,,,,,,,,,,,,,,,,,,
6,backward,1,,,,,,,,,,,,,,,,,,
6,backward,2,,,,,,,,,,,,,,,,,,
6,backward,3,,,,,,,,,,,,,,,,,,
6,left,1,,,,,,,,,,,,,,,,,,
6,left,2,,,,,,,,,,,,,,,,,,
6,left,3,,,,,,,,,,,,,,,,,,
6,right,1,,,,,,,,,,,,,,,,,,
6,right,2,,,,,,,,,,,,,,,,,,
6,right,3,,,,,,,,,,,,,,,,,,
7,forward,1,,,,,,,,,,,,,,,,,,
7,forward,2,,,,,,,,,,,,,,,,,,
7,forward,3,,,,,,,,,,,,,,,,,,
7,backward,1,,,,,,,,,,,,,,,,,,
7,backward,2,,,,,,,,,,,,,,,,,,
7,backward,3,,,,,,,,,,,,,,,,,,
7,left,1,,,,,,,,,,,,,,,,,,
7,left,2,,,,,,,,,,,,,,,,,,
7,left,3,,,,,,,,,,,,,,,,,,
7,right,1,,,,,,,,,,,,,,,,,,
7,right,2,,,,,,,,,,,,,,,,,,
7,right,3,,,,,,,,,,,,,,,,,,
